ParkID,PlotID,BurnUnit,MaxBurnYear,Season,Lat,Long,ObsYears,TreeID,Species,Status,CrownScorchPercent,MaxCharHt,gro.10,BA_comp,DBH,aVpd.pre.10,trnd.25,ad.25
BRCA,ABCO_62,Puma,2008,Fall,37.48,-112.25,2,BC62732,ABCO,0,75,7,1.3,29,44.6,1.4,0.02,1
BRCA,ABCO_62,Puma,2008,Fall,37.48,-112.25,2,BC62733,PSME,0,15,3,0.96,51,33.8,1.4,-0.02,1
BRCA,ABCO_62,Puma,2008,Fall,37.48,-112.25,2,BC62734,ABCO,1,60,2,0.45,195,17.3,1.4,0,2
BRCA,ABCO_62,Puma,2008,Fall,37.48,-112.25,2,BC62785,ABCO,1,5,0.5,0.33,346,22.5,1.4,0,3
BRCA,ABCO_63,Puma,2008,Fall,37.47,-112.24,2,BC63562,PSME,0,0,0.2,0.07,662,18.8,1.4,-0.01,0
BRCA,ABCO_63,Puma,2008,Fall,37.47,-112.24,2,BC63801,PSME,0,0,0.1,0.27,64,42.8,1.4,-0.02,1
BRCA,ABCO_63,Puma,2008,Fall,37.47,-112.24,2,BC63825,ABCO,1,0,3,0.43,211,28.8,1.4,0,1
BRCA,ABCO_65,Puma,2008,Fall,37.47,-112.24,2,BC65705,PSME,0,70,4,0.39,69,29,1.4,-0.04,2
BRCA,ABCO_65,Puma,2008,Fall,37.47,-112.24,2,BC65708,PSME,1,95,8,0.45,0,42.4,1.4,-0.03,1
BRCA,ABCO_65,Puma,2008,Fall,37.47,-112.24,2,BC65709,ABCO,1,90,3.5,1.04,0,18.6,1.4,0.02,2
BRCA,ABCO_65,Puma,2008,Fall,37.47,-112.24,2,BC65710,PSME,0,20,0.1,0.31,145,20.1,1.4,-0.04,2
BRCA,ABCO_65,Puma,2008,Fall,37.47,-112.24,2,BC65711,ABCO,0,7,0,0.65,224,28,1.4,-0.04,1
BRCA,ABCO_65,Puma,2008,Fall,37.47,-112.24,2,BC65717,PSME,0,1,0.5,0.81,40,38.4,1.4,-0.02,1
BRCA,ABCO_65,Puma,2008,Fall,37.47,-112.24,2,BC65723,PSME,0,1,0,0.5,276,29.1,1.4,-0.06,2
BRCA,ABCO_66,Puma,2008,Fall,37.48,-112.26,2,BC66046,PIPO,0,90,9,1.3,401,20.9,1.4,0,0
BRCA,ABCO_66,Puma,2008,Fall,37.48,-112.26,2,BC66051,PIPO,1,100,2,0.91,85,26.2,1.4,-0.02,0
BRCA,ABCO_66,Puma,2008,Fall,37.48,-112.26,2,BC66052,PSME,1,95,1.5,0.67,560,17.7,1.4,-0.03,1
BRCA,ABCO_66,Puma,2008,Fall,37.48,-112.26,2,BC66917,ABCO,1,75,3,1.9,0,15.4,1.4,-0.02,1
BRCA,ABCO_66,Puma,2008,Fall,37.48,-112.26,2,BC66918,ABCO,1,20,0.6,1.31,0,15.1,1.4,-0.04,2
BRCA,ABCO_66,Puma,2008,Fall,37.48,-112.26,2,BC66919,PSME,0,5,2,1.61,836,18.7,1.4,-0.05,2
BRCA,PIPO_67,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC67105,PSME,1,100,18,0.17,95,35.1,0.5,-0.02,2
BRCA,PIPO_67,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC67109,PSME,0,10,0,0.75,264,33.3,0.5,-0.03,3
BRCA,PIPO_67,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC67110,PSME,1,60,3,0.32,183,25.3,0.5,-0.02,2
BRCA,PIPO_67,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC67111,PSME,0,40,3,0.74,15,62.7,0.5,-0.03,1
BRCA,PIPO_67,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC67116,PSME,0,10,0.5,0.97,307,27.6,0.5,-0.02,1
BRCA,PIPO_68,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC68121,PSME,0,10,2,1.52,172,31.9,0.6,0.03,2
BRCA,PIPO_68,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC68127,PIPO,0,5,0.5,0.77,122,53.6,0.6,0,0
BRCA,PIPO_68,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC68129,PIPO,0,0,0.5,1.19,315,40.9,0.6,0,1
BRCA,PIPO_68,East Creek Ridge,2001,Summer,37.6,-112.2,5,BC68133,PIPO,0,0,0.1,0.66,222,36.3,0.6,0,0
BRCA,PIPO_70,East Creek Ridge,2001,Summer,37.59,-112.21,5,BC70150,PSME,1,80,1.5,0.58,111,39.7,0.6,-0.03,3
BRCA,PIPO_70,East Creek Ridge,2001,Summer,37.59,-112.21,5,BC70152,PSME,1,85,7,2.1,45,36.2,0.6,-0.02,1
BRCA,PIPO_70,East Creek Ridge,2001,Summer,37.59,-112.21,5,BC70155,PSME,1,100,7,1.49,0,31.5,0.6,0,2
BRCA,PIPO_71,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC71229,PSME,1,0,0.5,0.23,38,78.2,0.5,0,6
BRCA,PIPO_71,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC71232,PSME,1,20,3,0.42,29,44.7,0.5,0,3
BRCA,PIPO_71,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC71233,PSME,1,20,2,0.41,292,20,0.5,0,6
BRCA,PIPO_71,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC71235,ABCO,1,0,1.5,0.14,19,56,0.5,0,5
BRCA,PIPO_71,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC71236,PSME,1,5,1,0.43,26,47,0.5,-0.01,1
BRCA,PIPO_72,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC72239,PSME,0,15,1.5,1.98,93,43.5,0.6,-0.02,1
BRCA,PIPO_72,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC72240,PSME,1,5,1.5,1.43,447,19.8,0.6,-0.02,1
BRCA,PIPO_72,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC72243,PSME,0,80,3,1.4,223,16.2,0.6,0.02,0
BRCA,PIPO_72,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC72249,PSME,1,30,0.5,0.36,0,76.3,0.6,-0.01,3
BRCA,PIPO_72,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC72251,PSME,0,30,0,0.97,851,20.3,0.6,-0.03,0
BRCA,PIPO_72,East Creek Ridge,2001,Summer,37.59,-112.19,5,BC72252,PSME,0,20,0.5,1.21,133,42,0.6,-0.03,0
BRCA,ABCO_77,Puma,2008,Fall,37.51,-112.27,2,BC77254,ABCO,0,1,0.2,0.69,466,22.4,1.4,-0.01,2
BRCA,ABCO_77,Puma,2008,Fall,37.51,-112.27,2,BC77270,ABCO,0,0,0.4,1.29,0,31.6,1.4,0.02,1
BRCA,ABCO_77,Puma,2008,Fall,37.51,-112.27,2,BC77295,ABCO,0,1,0.1,0.84,155,33.6,1.4,-0.01,1
BRCA,ABCO_77,Puma,2008,Fall,37.51,-112.27,2,BC77297,PSME,0,10,0,0.6,0,21.3,1.4,-0.03,1
BRCA,ABCO_77,Puma,2008,Fall,37.51,-112.27,2,BC77918,ABCO,0,40,2,0.77,0,27.8,1.4,-0.01,2
BRCA,ABCO_77,Puma,2008,Fall,37.51,-112.27,2,BC77920,PSME,0,0,1.5,0.62,52,33.6,1.4,0,2
BRCA,ABCO_78,Puma,2008,Fall,37.5,-112.27,2,BC78303,PSME,0,90,3,0.28,138,41.2,1.4,-0.03,3
BRCA,ABCO_78,Puma,2008,Fall,37.5,-112.27,2,BC78306,PSME,1,100,16,0.7,74,48.7,1.4,-0.02,2
BRCA,ABCO_78,Puma,2008,Fall,37.5,-112.27,2,BC78313,PSME,1,100,4,0.79,69,29.1,1.4,-0.03,1
BRCA,ABCO_78,Puma,2008,Fall,37.5,-112.27,2,BC78316,ABCO,1,95,3,0.99,0,42.4,1.4,-0.05,2
BRCA,ABCO_78,Puma,2008,Fall,37.5,-112.27,2,BC78317,PSME,0,99,5,0.73,0,39.8,1.4,-0.05,2
BRCA,ABCO_78,Puma,2008,Fall,37.5,-112.27,2,BC78320,ABCO,1,100,5,0.87,0,37.5,1.4,-0.03,4
BRCA,ABCO_78,Puma,2008,Fall,37.5,-112.27,2,BC78326,PSME,1,100,9,1.02,97,24.5,1.4,-0.03,1
CRLA,FPICO3D08_01,Cornerstone/Phoenix,2007,Fall,43.08,-122.01,2,CL01553,PIPO,0,0,0.5,3.24,178,31.4,0.5,0.08,0
CRLA,FPICO3D08_03,Cornerstone/Phoenix,2010,Fall,43.06,-122,4,CL03412,PIPO,0,0,1.5,0.84,959,25.3,0.8,0.01,0
CRLA,FPICO3D08_03,Cornerstone/Phoenix,2010,Fall,43.06,-122,4,CL03480,ABCO,0,5,0.1,3.72,265,48.1,0.8,-0.05,0
CRLA,FPICO3D08_03,Cornerstone/Phoenix,2010,Fall,43.06,-122,4,CL03485,ABCO,0,60,6,4.22,57,39.1,0.8,-0.03,0
CRLA,FPICO3D08_03,Cornerstone/Phoenix,2010,Fall,43.06,-122,4,CL03495,PIPO,0,3,0.3,0.57,187,53,0.8,-0.04,0
CRLA,FPICO3D08_03,Cornerstone/Phoenix,2010,Fall,43.06,-122,4,CL03498,PIPO,0,30,1.5,1.34,438,24.5,0.8,-0.04,0
CRLA,FPICO3D08_03,Cornerstone/Phoenix,2010,Fall,43.06,-122,4,CL03608,ABCO,1,80,2.1,2.71,739,15.4,0.8,0.08,0
CRLA,FPIPO1D09_06,Timbered Crater,2001,Fall,43.03,-122,2,CL06007,PIPO,0,30,0.3,2.85,541,18,0.1,0.08,1
CRLA,FPIPO1D09_06,Timbered Crater,2001,Fall,43.03,-122,2,CL06058,PIPO,0,5,0.3,2.27,1081,15.6,0.1,0.07,1
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07731,ABCO,0,50,0.1,1.88,159,33.2,0.8,0.02,0
